fund_symbol,rating,return_rating,risk_rating,investment_type,fund_net_annual_expense_ratio,category_net_annual_expense_ratio,asset_cash_ratio,asset_stocks,price_earnings_ratio,price_book_ratio,price_sales_ratio,price_cashflow_ratio,median_market_cap,net_asset_value,fund_return_ytd,category_return_ytd,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2019,category_return_2019,fund_return_2018,category_return_2018,fund_return_2017,category_return_2017,fund_return_2016,category_return_2016,fund_return_2015,category_return_2015,fund_return_2014,category_return_2014,fund_return_2013,category_return_2013,fund_return_2012,category_return_2012,fund_return_2011,category_return_2011,fund_return_2010,category_return_2010,years_up,years_down,fund_treynor_ratio_3years,category_treynor_ratio_3years,fund_treynor_ratio_5years,category_treynor_ratio_5years,fund_treynor_ratio_10years,category_treynor_ratio_10years
CPVCX,3,3,2,Growth,2,1.36,2.48,95.75,35.6,4.45,3.44,21.51,3602.47,138900000,6.26,8.18,12.27,16.21,6.74,6.11,9.46,9.19,7.82,8.23,22.91,27.78,-10.21,-18.34,30.92,36.19,4.23,-2.98,-3.17,7.05,0.83,-5.4,8.6,26.61,31.3,22.2,-10.6,-14.72,36.37,23.04,12,6,4.79,0.04,8.1,0.08,8.05,0.08
CRARX,2,2,4,Blend,0.83,1.19,3.99,99.98,29.21,1.84,5.81,14.37,12002.63,396850000,-18.89,-16.3,-20.08,-17.05,-0.51,0.4,1.21,2.65,6.49,7.05,28.19,27.28,-7.94,-5.97,5.12,6.22,4.26,6.89,3.11,2.41,29.77,28.03,2.09,1.55,15.61,17.6,9.76,7.51,27.83,27.08,18,5,-2.53,-0.01,0.04,0.02,7.5,0.09
CRIAX,3,3,3,Blend,0.96,1.05,3.38,96.62,18.01,1.68,1.24,10.37,4236.71,259090000,-8.24,-6.28,-2.28,-0.89,3.28,3.18,6.73,6.39,8.65,9.18,26.05,26.21,-7.5,-11.15,14.48,15.93,17.49,14.14,-7.44,-4.75,4.12,7.8,33.87,34.1,18.51,16.15,-5.2,-3.81,24.01,22.52,11,4,1.55,0.01,5.01,0.05,7.32,0.08
CRIEX,2,2,3,Blend,1.21,1.05,3.19,96.81,19.05,1.8,1.52,13.66,13449.6,25150000,-6.96,-6.28,-1.64,-0.89,0.78,3.18,5.56,6.39,8.04,9.18,22.5,26.21,-13.36,-11.15,18.87,15.93,12.74,14.14,1.46,-4.75,4.37,7.8,30.1,34.1,18.51,16.15,-9.67,-3.81,18.42,22.52,10,3,-0.71,0.01,3.94,0.05,6.71,0.08
CRIMX,3,3,2,Blend,0.97,1.05,1.93,98.07,19.11,1.77,1.62,11.2,7928.12,360830000,-6.39,-6.28,-2.29,-0.89,3.76,3.18,8.12,6.39,9.57,9.18,24.84,26.21,-6.95,-11.15,19.36,15.93,16.22,14.14,-2.42,-4.75,5.98,7.8,33.4,34.1,17.82,16.15,-6.94,-3.81,18.88,22.52,16,5,2.17,0.01,6.83,0.05,8.71,0.08
CRMAX,3,3,3,Blend,1.18,1.05,3.38,96.62,18.01,1.68,1.24,10.37,4236.71,259090000,-8.31,-6.28,-2.49,-0.89,3.08,3.18,6.5,6.39,8.41,9.18,25.66,26.21,-7.67,-11.15,14.22,15.93,17.14,14.14,-7.59,-4.75,3.92,7.8,33.59,34.1,18.26,16.15,-5.38,-3.81,23.7,22.52,11,4,1.37,0.01,4.81,0.05,7.11,0.08
CRMEX,2,2,3,Blend,1.46,1.05,3.19,96.81,19.05,1.8,1.52,13.66,13449.6,25150000,-7.28,-6.28,-2.04,-0.89,0.44,3.18,5.29,6.39,7.77,9.18,22.28,26.21,-13.74,-11.15,18.63,15.93,12.63,14.14,1.08,-4.75,4.23,7.8,29.85,34.1,18.13,16.15,-9.9,-3.81,18.23,22.52,10,3,-1.01,0.01,3.68,0.05,6.45,0.08
CRMMX,3,3,2,Blend,1.17,1.05,1.93,98.07,19.11,1.77,1.62,11.2,7928.12,360830000,-6.54,-6.28,-2.46,-0.89,3.56,3.18,7.92,6.39,9.35,9.18,24.58,26.21,-7.08,-11.15,19.06,15.93,16.01,14.14,-2.58,-4.75,5.75,7.8,33.1,34.1,17.61,16.15,-7.13,-3.81,18.57,22.52,14,5,1.97,0.01,6.62,0.05,8.5,0.08
CSGYX,5,5,4,Growth,0.92,1.21,2.4,97.6,32.14,5.88,2.73,22.11,4317.86,1720000000,34.32,10.02,45.44,18.21,23.87,11.01,21.71,12.18,16.37,12.31,41.18,27.68,-1.92,-5.76,28.94,21.5,13,11.2,4.19,-2.41,-5.18,2.44,40.57,40.91,12.42,13.15,-5,-3.55,31.42,26.98,7,3,18.24,0.08,16.43,0.09,12.72,0.1
CSPAX,4,4,3,Growth,1.1,1.28,4.86,93.94,28.45,4.26,2.38,17.25,4951.16,53930000000,11.31,0.85,20.47,8.06,10.66,4.26,11.9,8.29,10.12,7.61,30.7,26.49,-9.75,-14.25,26.76,25.44,5.67,9.32,2.52,-1.23,1.73,-0.42,29.23,30.99,21.88,18.46,-14.4,-11.76,24.88,20.56,14,3,8.44,0.03,10.48,0.07,10.55,0.07
CSPCX,4,4,3,Growth,1.88,1.28,4.86,93.94,28.45,4.26,2.38,17.25,4951.16,53930000000,10.59,0.85,19.57,8.06,9.82,4.26,11.04,8.29,9.27,7.61,29.74,26.49,-10.42,-14.25,25.76,25.44,4.85,9.32,1.72,-1.23,0.93,-0.42,28.19,30.99,20.91,18.46,-15.06,-11.76,23.87,20.56,14,3,7.67,0.03,9.66,0.07,9.6,0.07
CSPEX,4,4,3,Growth,1.3,1.28,4.86,93.94,28.45,4.26,2.38,17.25,4951.16,53930000000,11.12,0.85,20.23,8.06,10.43,4.26,11.67,8.29,9.87,7.61,30.47,26.49,-9.96,-14.25,26.48,25.44,5.46,9.32,2.28,-1.23,1.51,-0.42,28.9,30.99,21.56,18.46,-14.61,-11.76,24.49,20.56,14,3,8.23,0.03,10.26,0.07,10.27,0.07
CSPFX,4,4,3,Growth,1.12,1.28,4.86,93.94,28.45,4.26,2.38,17.25,4951.16,53930000000,11.52,0.85,20.75,8.06,10.9,4.26,12.14,8.29,10.35,7.61,31,26.49,-9.55,-14.25,27,25.44,5.89,9.32,2.75,-1.23,1.92,-0.42,29.52,30.99,22.13,18.46,-14.22,-11.76,25.12,20.56,14,3,8.66,0.03,10.72,0.07,10.8,0.07
DALCX,4,3,2,Value,0.85,1.09,2.09,97.91,19.67,2.31,1.09,10.5,10400.42,56360000,-15.52,-15.13,-10.79,-10.02,-0.13,-0.95,5.46,3.98,8.14,7.96,26.88,25.18,-11.08,-12.86,15.12,13.22,20.65,18.06,-3.42,-5.41,8.79,9.31,33.38,35.14,15.41,16.6,-4.39,-3.96,7.49,21.92,15,7,-1.67,-0.02,4.18,0.03,7.14,0.07
DEEVX,5,5,5,Growth,1.85,1.16,0.15,99.85,39.22,9.52,5.91,32.36,9196.08,3610000000,52.51,14.82,61.16,22.59,31.63,13.64,21.62,13.1,17.64,12.76,34.36,32.52,-0.67,-6.65,34.14,23.91,-5.08,6.03,6.24,-0.95,2.09,7,39.78,34.93,9.57,14.07,7.21,-3.96,34.04,24.61,18,6,24.32,0.11,16.86,0.11,15.21,0.11
DFCIX,5,5,5,Growth,1.1,1.16,0.15,99.85,39.22,9.52,5.91,32.36,9196.08,3610000000,53.45,14.82,62.31,22.59,32.61,13.64,22.53,13.1,18.52,12.76,35.33,32.52,0.13,-6.65,35.13,23.91,-4.33,6.03,7.05,-0.95,2.81,7,40.84,34.93,10.38,14.07,7.96,-3.96,35.03,24.61,26,7,25.07,0.11,17.59,0.11,15.98,0.11
DFDIX,5,5,5,Growth,0.85,1.16,0.15,99.85,39.22,9.52,5.91,32.36,9196.08,3610000000,53.73,14.82,62.72,22.59,32.93,13.64,22.84,13.1,18.82,12.76,35.66,32.52,0.41,-6.65,35.45,23.91,-4.1,6.03,7.3,-0.95,3.09,7,41.2,34.93,10.65,14.07,8.28,-3.96,35.43,24.61,21,6,25.33,0.11,17.84,0.11,16.25,0.11
DFGEX,4,4,4,Blend,0.24,1.24,0.69,98.79,23.75,1.47,6.29,15.13,10524.59,7220000000,-18.83,-18.26,-19.28,-17.68,0.81,-0.47,2.6,1.71,6.34,4.33,26.4,23.45,-4.15,-7.11,9.2,15.12,6.56,1.97,0.69,-0.92,22.74,11.67,1.77,2.92,23.17,31.78,1.81,-10.1,23.79,17.22,10,1,-0.96,-0.02,1.76,0.01,7.2,0.04
DFIEX,3,3,5,Blend,0.28,0.98,0.94,98.8,16.87,1.27,0.71,7.07,9107,24970000000,-11.2,-8.69,-6.32,-4.19,-2.74,-1.14,3.33,3.23,3.99,3.65,21.68,21.59,-17.4,-14.59,28.05,25.12,5.34,0.79,-0.21,-1.59,-5.98,-4.98,23.43,19.44,18.74,18.29,-15.11,-13.97,13.91,10.24,9,5,-3.88,-0.03,1.99,0.02,3.25,0.03
DFITX,2,2,5,Value,0.27,1.24,0.75,97.83,16.58,0.91,6.99,13.36,3760.79,4650000000,-24.45,-18.26,-23.98,-17.68,-2.41,-0.47,-0.2,1.71,3.57,4.33,23.52,23.45,-6.9,-7.11,15.38,15.12,3.08,1.97,-3.62,-0.92,11.1,11.67,2.27,2.92,33.41,31.78,-7.75,-10.1,18.09,17.22,8,4,-4.22,-0.02,-1.46,0.01,3.26,0.04
DFREX,4,4,3,Blend,0.18,1.19,0.45,99.55,30.77,2.27,6.32,16.48,18193.92,8140000000,-15.34,-16.3,-16.27,-17.05,2.59,0.4,4.09,2.65,8.07,7.05,28.1,27.28,-2.99,-5.97,5.71,6.22,8.38,6.89,3.24,2.41,31.11,28.03,1.39,1.55,17.48,17.6,8.95,7.51,28.67,27.08,20,6,1.36,-0.01,3.9,0.02,10.18,0.09
DFRIX,5,5,5,Growth,1.35,1.16,0.15,99.85,39.22,9.52,5.91,32.36,9196.08,3610000000,53.13,14.82,61.94,22.59,32.27,13.64,22.22,13.1,18.23,12.76,34.97,32.52,-0.11,-6.65,34.77,23.91,-4.59,6.03,6.78,-0.95,2.57,7,40.48,34.93,10.12,14.07,7.75,-3.96,34.68,24.61,13,3,24.83,0.11,17.36,0.11,15.73,0.11
DFVEX,4,4,3,Blend,0.31,1.09,0.39,99.56,17.11,1.62,0.87,7.75,8057.46,3620000000,-12.06,-15.13,-6.12,-10.02,0.04,-0.95,5.22,3.98,9.1,7.96,26.09,25.18,-13.24,-12.86,14.64,13.22,21.01,18.06,-5.03,-5.41,6.51,9.31,40.21,35.14,18.97,16.6,-4.56,-3.96,25.12,21.92,9,5,-1.3,-0.02,3.34,0.03,7.06,0.07
DFVQX,3,3,3,Value,0.47,1.09,0.07,99.91,15.15,1.03,0.58,6.13,4555.05,2720000000,-13.61,-11.8,-8.41,-5.43,-4.38,-3.93,2.73,2.7,3.64,3.41,20.85,19.18,-18.98,-19.13,28.94,27.52,6.84,4.24,3.14,2.27,-6.27,-6.56,24.31,25.71,18.9,21.38,-16.96,-15.99,17.3,21,7,4,-5.04,-0.05,1.36,0.01,2.82,0.03
DGBCX,3,3,3,Blend,2.05,1.24,1.04,98.76,19.73,1.23,5.12,15.17,9869.13,405670000,-17.5,-18.26,-18.37,-17.68,-0.48,-0.47,1.18,1.71,3.97,4.33,21.86,23.45,-5.63,-7.11,10.14,15.12,3.54,1.97,-1.02,-0.92,13.93,11.67,1.79,2.92,25.61,31.78,-6.35,-10.1,16.48,17.22,8,3,-2.59,-0.02,0,0.01,4.02,0.04
DGGAX,3,3,3,Growth,1.37,1.36,1.52,97.75,26.12,3.92,2.15,15.06,2736.8,106900000,6.21,8.18,14.72,16.21,1.23,6.11,7.6,9.19,7.99,8.23,22.68,27.78,-23.74,-18.34,46.76,36.19,-1.01,-2.98,-0.66,7.05,1.99,-5.4,23.33,26.61,17.57,22.2,-2.34,-14.72,22.44,23.04,7,4,-0.31,0.04,5.79,0.08,7.63,0.08
DGGIX,3,3,3,Growth,1.12,1.36,1.52,97.75,26.12,3.92,2.15,15.06,2736.8,106900000,6.3,8.18,14.91,16.21,1.45,6.11,7.85,9.19,8.25,8.23,22.94,27.78,-23.43,-18.34,47.14,36.19,-0.78,-2.98,-0.45,7.05,2.21,-5.4,23.67,26.61,17.9,22.2,-2.2,-14.72,22.53,23.04,7,4,-0.12,0.04,6.03,0.08,7.9,0.08
DGROX,3,3,3,Blend,1.15,1.24,0.35,99.56,16.77,1.52,4.38,15.65,9698.68,41460000,-19.99,-18.26,-15.61,-17.68,-2.06,-0.47,1.32,1.71,6.81,4.33,20.83,23.45,-6.07,-7.11,8.92,15.12,4.18,1.97,-0.18,-0.92,16.21,11.67,4.46,2.92,29.16,31.78,-3.86,-10.1,19.64,17.22,8,4,-4.76,-0.02,0.19,0.01,7.48,0.04
DGRPX,3,3,3,Blend,1.4,1.24,0.35,99.56,16.77,1.52,4.38,15.65,9698.68,41460000,-20.1,-18.26,-15.93,-17.68,-2.32,-0.47,1.05,1.71,6.57,4.33,20.5,23.45,-6.21,-7.11,8.65,15.12,3.76,1.97,-0.29,-0.92,15.74,11.67,4.36,2.92,28.87,31.78,-4.12,-10.1,19.39,17.22,8,4,-5.1,-0.02,-0.16,0.01,7.18,0.04
DGSCX,3,3,3,Growth,1.28,1.28,1.18,98.82,24.99,2.63,1.49,15.35,3878.66,75060000,3.6,0.85,9.29,8.06,3.14,4.26,6.3,8.29,9.63,7.61,22.98,26.49,-16.46,-14.25,27.33,25.44,1.67,9.32,2.52,-1.23,-1.26,-0.42,40.32,30.99,20.97,18.46,-5.16,-11.76,31.17,20.56,16,7,1.36,0.03,4.8,0.07,9.46,0.07
DHLTX,1,2,5,Value,0.87,0.91,2.72,97.28,15.99,1.26,0.85,8.87,10299.59,274450000,-6.74,0.05,-1.38,6.3,4.39,8.01,6.8,9.64,10.12,11.28,30.77,28.78,-12.02,-6.27,20.33,20.44,9.62,10.37,-1.14,-1.07,11.57,10.96,44.35,31.5,11.54,14.96,-2.25,-1.27,11.19,14.01,10,4,2.2,0.07,4.5,0.09,8.28,0.11
DHTAX,1,2,5,Value,1.16,0.91,2.72,97.28,15.99,1.26,0.85,8.87,10299.59,274450000,-6.99,0.05,-1.72,6.3,4.07,8.01,6.48,9.64,9.81,11.28,30.41,28.78,-12.31,-6.27,19.93,20.44,9.37,10.37,-1.44,-1.07,11.3,10.96,44.04,31.5,11.27,14.96,-2.53,-1.27,10.83,14.01,10,4,1.95,0.07,4.24,0.09,8.01,0.11
DHTCX,1,1,5,Value,1.91,0.91,2.72,97.28,15.99,1.26,0.85,8.87,10299.59,274450000,-7.54,0.05,-2.41,6.3,3.29,8.01,5.68,9.64,8.98,11.28,29.39,28.78,-12.93,-6.27,19.07,20.44,8.51,10.37,-2.21,-1.07,10.46,10.96,43.08,31.5,10.44,14.96,-3.26,-1.27,9.96,14.01,10,4,1.34,0.07,3.6,0.09,7.28,0.11
DLDCX,3,3,3,Value,1.96,1.34,2.03,97.97,20.36,1.45,0.79,6.03,15352.99,281960000,-14.65,-6.86,-8.18,0.14,-5.14,-2.49,1.19,3.76,0.67,0.82,15.52,14.95,-18.39,-19.01,12.92,16.61,26.81,26.69,-23.44,-22.16,-4.03,-12.48,17.43,8.75,3.42,4.34,-10.13,-13.97,19.6,18.06,11,5,-4.89,-0.02,0.01,0.03,0.05,0.01
DLDRX,3,3,4,Value,0.98,1.34,2.03,97.97,20.36,1.45,0.79,6.03,15352.99,281960000,-13.94,-6.86,-7.27,0.14,-4.21,-2.49,2.19,3.76,1.68,0.82,16.67,14.95,-17.6,-19.01,14.05,16.61,28.11,26.69,-22.72,-22.16,-3.06,-12.48,18.64,8.75,4.49,4.34,-9.24,-13.97,20.92,18.06,11,5,-4.22,-0.02,0.76,0.03,0.86,0.01
DLMAX,2,2,3,Value,1.14,1.09,0.82,98.59,16.73,1.78,0.92,9.46,11053.51,73100000,-17.72,-15.13,-12.53,-10.02,-2.43,-0.95,3.66,3.98,7.15,7.96,28.92,25.18,-15.56,-12.86,16.84,13.22,18.61,18.06,-0.32,-5.41,6.71,9.31,28.85,35.14,13.14,16.6,-5.77,-3.96,27.63,21.92,8,3,-3.32,-0.02,2.01,0.03,5.48,0.07
DLMCX,2,2,3,Value,1.89,1.09,0.82,98.59,16.73,1.78,0.92,9.46,11053.51,73100000,-18.27,-15.13,-13.32,-10.02,-3.21,-0.95,2.85,3.98,6.33,7.96,27.97,25.18,-16.15,-12.86,15.74,13.22,17.81,18.06,-1.15,-5.41,5.77,9.31,28.19,35.14,12.23,16.6,-6.49,-3.96,26.75,21.92,8,3,-3.96,-0.02,1.36,0.03,4.78,0.07
DLMIX,3,3,4,Value,0.89,1.09,0.82,98.59,16.73,1.78,0.92,9.46,11053.51,73100000,-17.59,-15.13,-12.46,-10.02,-2.29,-0.95,3.88,3.98,7.39,7.96,29.03,25.18,-15.33,-12.86,17.11,13.22,18.89,18.06,-0.26,-5.41,6.99,9.31,29.37,35.14,13.4,16.6,-5.62,-3.96,28.06,21.92,8,3,-3.2,-0.02,2.19,0.03,5.68,0.07
DLMRX,2,2,3,Value,1.39,1.09,0.82,98.59,16.73,1.78,0.92,9.46,11053.51,73100000,-18.07,-15.13,-12.96,-10.02,-2.75,-0.95,3.34,3.98,6.84,7.96,28.68,25.18,-15.83,-12.86,16.58,13.22,18.11,18.06,-0.48,-5.41,6.43,9.31,28.52,35.14,12.85,16.6,-6.2,-3.96,27.96,21.92,8,3,-3.59,-0.02,1.76,0.03,5.23,0.07
DMCVX,3,3,4,Blend,1.15,1.05,0.68,99.32,22.97,1.92,1.25,11.95,13504.08,412260000,-1.77,-6.28,5.64,-0.89,3.25,3.18,6.39,6.39,9.02,9.18,27.49,26.21,-18.05,-11.15,15.62,15.93,17.49,14.14,-10.46,-4.75,9.21,7.8,39.67,34.1,19.41,16.15,-5.8,-3.81,25.06,22.52,18,6,1.34,0.01,4.13,0.05,6.66,0.08
DNLAX,3,3,3,Value,1.24,1.34,2.03,97.97,20.36,1.45,0.79,6.03,15352.99,281960000,-14.12,-6.86,-7.51,0.14,-4.47,-2.49,1.91,3.76,1.41,0.82,16.36,14.95,-17.81,-19.01,13.69,16.61,27.75,26.69,-22.89,-22.16,-3.32,-12.48,18.33,8.75,4.25,4.34,-9.46,-13.97,20.49,18.06,11,5,-4.4,-0.02,0.56,0.03,0.64,0.01
DNLCX,2,2,2,Blend,1.87,1.05,0.36,99.64,21.31,2.62,1.49,11.23,12377.3,374390000,-8.51,-6.28,-4.85,-0.89,-2.01,3.18,1.92,6.39,7.49,9.18,15.94,26.21,-15.04,-11.15,15.65,15.93,7.9,14.14,0.82,-4.75,13.64,7.8,34.32,34.1,17.69,16.15,-5.93,-3.81,16.61,22.52,13,4,-3.41,0.01,0.7,0.05,6.21,0.08
DNLDX,3,2,2,Blend,0.98,1.05,0.36,99.64,21.31,2.62,1.49,11.23,12377.3,374390000,-7.78,-6.28,-3.95,-0.89,-1.14,3.18,2.81,6.39,8.41,9.18,16.95,26.21,-14.3,-11.15,16.63,15.93,8.81,14.14,1.69,-4.75,14.58,7.8,35.5,34.1,18.74,16.15,-5.21,-3.81,17.62,22.52,24,10,-2.58,0.01,1.53,0.05,7.04,0.08
DNLRX,3,3,2,Blend,0.78,1.05,0.36,99.64,21.31,2.62,1.49,11.23,12377.3,374390000,-7.64,-6.28,-3.78,-0.89,-0.93,3.18,3.03,6.39,8.61,9.18,17.21,26.21,-14.12,-11.15,16.91,15.93,9.03,14.14,1.88,-4.75,14.84,7.8,35.72,34.1,18.94,16.15,-5.14,-3.81,17.66,22.52,13,4,-2.38,0.01,1.74,0.05,7.23,0.08
DNREX,5,5,1,Growth,1.42,1.19,1,99,33.61,3.02,3.4,20.57,11821.9,69290000,1.17,-16.3,-0.02,-17.05,7.3,0.4,6.25,2.65,9.05,7.05,27.32,27.28,-6.37,-5.97,4.24,6.22,6.25,6.89,2.07,2.41,31.09,28.03,2.93,1.55,18.72,17.6,6.27,7.51,25.71,27.08,12,3,8.59,-0.01,7.5,0.02,11.82,0.09
DPRCX,1,2,3,Value,2.15,1.01,0.87,63.16,15.05,1.44,1.32,7.98,9321.13,98890000,-10.65,-5.47,-8.56,-2.08,2.7,1.1,2.35,3.97,6.56,4.61,29.43,16.1,-8.44,-8.26,0.18,14.79,4.52,6.04,2.39,-4.15,27.95,1.54,0.93,10.07,15.57,10.74,9.27,-3.99,25.33,10.58,17,5,0.86,0,0.9,0.03,4.53,0.04
DPREX,2,2,3,Value,1.4,1.01,0.87,63.16,15.05,1.44,1.32,7.98,9321.13,98890000,-10.1,-5.47,-7.86,-2.08,3.47,1.1,3.11,3.97,7.37,4.61,30.42,16.1,-7.78,-8.26,0.99,14.79,5.29,6.04,3.18,-4.15,28.87,1.54,1.7,10.07,16.41,10.74,10.09,-3.99,26.35,10.58,19,5,1.46,0,1.48,0.03,5.13,0.04
DPRRX,2,2,3,Value,1.65,1.01,0.87,63.16,15.05,1.44,1.32,7.98,9321.13,98890000,-10.31,-5.47,-8.14,-2.08,3.2,1.1,2.85,3.97,7.1,4.61,30.11,16.1,-8.01,-8.26,0.63,14.79,5.14,6.04,2.87,-4.15,28.58,1.54,1.44,10.07,16.12,10.74,9.81,-3.99,26.04,10.58,13,3,1.25,0,1.28,0.03,4.94,0.04
DPRSX,2,2,3,Value,1.15,1.01,0.87,63.16,15.05,1.44,1.32,7.98,9321.13,98890000,-9.87,-5.47,-7.63,-2.08,3.73,1.1,3.38,3.97,7.64,4.61,30.74,16.1,-7.55,-8.26,1.17,14.79,5.59,6.04,3.47,-4.15,29.2,1.54,1.88,10.07,16.76,10.74,10.35,-3.99,26.59,10.58,17,5,1.66,0,1.69,0.03,5.35,0.04
DPSAX,2,2,3,Blend,1.15,1.05,0.02,99.98,19.26,2.1,1.14,9.22,5194.72,91040000,-11.51,-6.28,-7.4,-0.89,-2.66,3.18,2.82,6.39,8.36,9.18,18.31,26.21,-15.86,-11.15,17.07,15.93,14.6,14.14,-2.81,-4.75,11.05,7.8,35.01,34.1,19.2,16.15,-0.05,-3.81,26.5,22.52,13,5,-3.71,0.01,1.42,0.05,6.7,0.08
DPSCX,2,2,3,Blend,1.9,1.05,0.02,99.98,19.26,2.1,1.14,9.22,5194.72,91040000,-12.06,-6.28,-8.12,-0.89,-3.4,3.18,2.06,6.39,7.57,9.18,17.39,26.21,-16.45,-11.15,16.18,15.93,13.78,14.14,-3.51,-4.75,10.2,7.8,34.03,34.1,18.35,16.15,-0.73,-3.81,25.6,22.52,13,5,-4.35,0.01,0.76,0.05,6.02,0.08
DPSRX,2,2,4,Blend,0.9,1.05,0.02,99.98,19.26,2.1,1.14,9.22,5194.72,91040000,-11.29,-6.28,-7.16,-0.89,-2.42,3.18,3.08,6.39,8.62,9.18,18.55,26.21,-15.62,-11.15,17.35,15.93,14.9,14.14,-2.56,-4.75,11.29,7.8,35.37,34.1,19.42,16.15,0.08,-3.81,26.81,22.52,14,4,-3.49,0.01,1.65,0.05,6.92,0.08
DRECX,2,2,2,Blend,1.8,1.19,2.2,97.5,23.07,1.99,6.05,14.59,12000.72,170860000,-20.57,-16.3,-22.35,-17.05,-1.14,0.4,1.86,2.65,5.6,7.05,24.33,27.28,-5.3,-5.97,7.4,6.22,8.71,6.89,0.83,2.41,26.58,28.03,-2.54,1.55,15.9,17.6,8.8,7.51,19.07,27.08,16,6,-3.42,-0.01,0.86,0.02,6.72,0.09
DREYX,3,3,3,Blend,0.77,1.19,2.2,97.5,23.07,1.99,6.05,14.59,12000.72,170860000,-19.97,-16.3,-21.63,-17.05,-0.13,0.4,2.94,2.65,6.73,7.05,25.69,27.28,-4.27,-5.97,8.57,6.22,9.9,6.89,1.92,2.41,27.96,28.03,-1.45,1.55,17.14,17.6,9.97,7.51,20.52,27.08,17,6,-2.14,-0.01,2.22,0.02,8.24,0.09
DRIOX,3,3,3,Growth,1.24,1.36,2.02,97.98,23.66,2.47,1,9.61,3027.35,243890000,6.65,8.18,14.22,16.21,6.37,6.11,9.36,9.19,8.37,8.23,30.41,27.78,-16.92,-18.34,41.44,36.19,-6.22,-2.98,12.58,7.05,-4.32,-5.4,29.24,26.61,11.67,22.2,-11.39,-14.72,27.13,23.04,7,5,4.38,0.04,7.78,0.08,8.42,0.08
DRLAX,3,3,3,Blend,1.3,1.24,1.04,98.76,19.73,1.23,5.12,15.17,9869.13,405670000,-17.05,-18.26,-17.72,-17.68,0.23,-0.47,1.94,1.71,4.75,4.33,22.84,23.45,-4.95,-7.11,11.1,15.12,4.21,1.97,-0.24,-0.92,14.76,11.67,2.58,2.92,26.5,31.78,-5.74,-10.1,17.14,17.22,8,5,-1.7,-0.02,0.93,0.01,4.94,0.04
DRLIX,4,4,3,Blend,1.05,1.24,1.04,98.76,19.73,1.23,5.12,15.17,9869.13,405670000,-16.82,-18.26,-17.56,-17.68,0.48,-0.47,2.18,1.71,5.05,4.33,23,23.45,-4.66,-7.11,11.23,15.12,4.59,1.97,0.02,-0.92,15.1,11.67,2.93,2.92,26.92,31.78,-5.41,-10.1,17.91,17.22,9,4,-1.38,-0.02,1.23,0.01,5.3,0.04
DRMAX,4,4,4,Growth,1.04,1.16,0.32,99.68,36.66,6.48,3.45,23.3,15263.09,376480000,28.71,14.82,40.24,22.59,18.43,13.64,16.66,13.1,13.74,12.76,41.4,32.52,-11.17,-6.65,24.83,23.91,7.08,6.03,2.75,-0.95,6.99,7,37.81,34.93,7.98,14.07,-6.6,-3.96,25.89,24.61,14,3,15.12,0.11,13.42,0.11,11.46,0.11
DRMCX,4,4,4,Growth,0.79,1.16,0.32,99.68,36.66,6.48,3.45,23.3,15263.09,376480000,28.7,14.82,40.09,22.59,18.68,13.64,16.93,13.1,14.01,12.76,41.7,32.52,-10.83,-6.65,25.11,23.91,7.19,6.03,3.13,-0.95,7.46,7,37.97,34.93,8.41,14.07,-6.4,-3.96,26.24,24.61,33,7,15.36,0.11,13.67,0.11,11.69,0.11
DVFAX,3,3,3,Value,1,1.01,1.75,53.95,14.85,1.32,1.06,5.9,13228.44,71150000,-16.84,-5.47,-14.74,-2.08,-1.08,1.1,4.02,3.97,8.03,4.61,20.7,16.1,-8.5,-8.26,17.6,14.79,13.97,6.04,-3.94,-4.15,14.8,1.54,29.9,10.07,15.73,10.74,0.21,-3.99,7.93,10.58,11,3,-1.46,0,1.61,0.03,4.5,0.04
DVFCX,3,3,3,Value,1.65,1.01,1.75,53.95,14.85,1.32,1.06,5.9,13228.44,71150000,-17.26,-5.47,-15.25,-2.08,-1.71,1.1,3.36,3.97,7.33,4.61,19.93,16.1,-9.13,-8.26,16.91,14.79,13.15,6.04,-4.55,-4.15,14.05,1.54,29.07,10.07,15.05,10.74,-0.46,-3.99,7.28,10.58,10,4,-1.8,0,1.23,0.03,4.07,0.04
DVFIX,3,3,3,Value,0.65,1.01,1.75,53.95,14.85,1.32,1.06,5.9,13228.44,69480000,-16.55,-5.47,-14.41,-2.08,-0.72,1.1,4.4,3.97,8.42,4.61,21.15,16.1,-8.23,-8.26,18.07,14.79,14.34,6.04,-3.59,-4.15,15.22,1.54,30.26,10.07,16.2,10.74,0.59,-3.99,8.33,10.58,11,3,-1.26,0,1.82,0.03,4.73,0.04
EAASX,3,3,3,Growth,1.17,1.16,1.85,98.15,27.82,2.92,1.56,13.51,7868.12,10860000000,-7.73,14.82,-3.25,22.59,7.13,13.64,10.07,13.1,12.77,12.76,34.1,32.52,-5.57,-6.65,24.42,23.91,10.96,6.03,9.45,-0.95,4.9,7,35.72,34.93,13.91,14.07,5.44,-3.96,25.53,24.61,14,2,5.14,0.11,8.25,0.11,11.69,0.11
